sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
SOLB033,21,0.24,143,4.166666667,0.198412698,0.001387501
SOLB034,12,0.95,77,1.052631579,0.087719298,0.001139212
SUMM0001,40,0.25,44,4.0,0.1,0.002272727
SUMM0002,60,0.1,44,10.0,0.166666667,0.003787879
SUMM0003,40,0.25,44,4.0,0.1,0.002272727
SUMM0004,60,0.1,44,10.0,0.166666667,0.003787879
TAC001,24,1.0,40,1.0,0.041666667,0.001041667
MP060,1,200.0,800,0.005,0.005,6.25e-06
MP0040,1,220.0,880,0.004545455,0.004545455,5.16529e-06
MP1610,1,25.0,450,0.04,0.04,8.88889e-05
MP1611,1,250.0,1000,0.004,0.004,4e-06
061590,15,0.454,63,2.202643172,0.146842878,0.002330839
708001,15,0.5,63,2.0,0.133333333,0.002116402
788081,15,0.6,63,1.666666667,0.111111111,0.001763668
FARMA048,15,1.0,63,1.0,0.066666667,0.001058201
FARMA084,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA087,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA089,15,1.0,63,1.0,0.066666667,0.001058201
FARMA090,15,0.95,63,1.052631579,0.070175439,0.001113896
FARMA091,2,10.0,52,0.1,0.05,0.000961538
H242,12,1.0,63,1.0,0.083333333,0.001322751
MP1071,1,25.0,450,0.04,0.04,8.88889e-05
MP0480,1,1100.0,1100,0.000909091,0.000909091,8.26446e-07
MP1392,1,1000.0,1000,0.001,0.001,1e-06
AMVAC001,4,5.0,44,0.2,0.05,0.001136364
MP0851,1,250.0,1000,0.004,0.004,4e-06
000678,15,0.95,63,1.052631579,0.070175439,0.001113896
061373,400,0.01,30,100.0,0.25,0.008333333
061484,12,0.5,63,2.0,0.166666667,0.002645503
061525,400,0.01,30,100.0,0.25,0.008333333
061540,24,0.1,143,10.0,0.416666667,0.002913753
061650,15,1.0,63,1.0,0.066666667,0.001058201
703640,21,0.1,143,10.0,0.476190476,0.003330003
707200,12,1.0,63,1.0,0.083333333,0.001322751
787271,15,0.5,63,2.0,0.133333333,0.002116402
788082,24,0.2,143,5.0,0.208333333,0.001456876
FARMA028,200,0.05,30,20.0,0.1,0.003333333
FARMA095,70,0.1,63,10.0,0.142857143,0.002267574
FARMA096,1,200.0,800,0.005,0.005,6.25e-06
FARMA097,15,0.95,63,1.052631579,0.070175439,0.001113896
H103,1,20.0,32,0.05,0.05,0.0015625
061596,4,12.0,44,0.083333333,0.020833333,0.000473485
186229,9,9.0,44,0.111111111,0.012345679,0.000280584
LABR004,1,20.0,32,0.05,0.05,0.0015625
NUF050,1,1000.0,1000,0.001,0.001,1e-06
AMVAC008,12,0.95,77,1.052631579,0.087719298,0.001139212
EM0400,1,200.0,800,0.005,0.005,6.25e-06
EM0460,1,200.0,800,0.005,0.005,6.25e-06
EM0490,1,200.0,800,0.005,0.005,6.25e-06
GR4121,1,1000.0,1000,0.001,0.001,1e-06
GRMALATHION 4%,1,1000.0,1000,0.001,0.001,1e-06
MP0081,1,1000.0,1000,0.001,0.001,1e-06
MP0085,1,155.0,620,0.006451613,0.006451613,1.04058e-05
MP0130,1,250.0,1000,0.004,0.004,4e-06
MP0390,1,220.0,880,0.004545455,0.004545455,5.16529e-06
MP0400,1,220.0,880,0.004545455,0.004545455,5.16529e-06
MP0570,1,25.0,1000,0.04,0.04,4e-05
MP0665,1,1000.0,1000,0.001,0.001,1e-06
MP0790,1,1000.0,1000,0.001,0.001,1e-06
MP0920,1,1000.0,1000,0.001,0.001,1e-06
MP0990,1,1000.0,1000,0.001,0.001,1e-06
MP1020,1,250.0,1000,0.004,0.004,4e-06
MP1042,1,25.0,40,0.04,0.04,0.001
MP1092,1,25.0,450,0.04,0.04,8.88889e-05
MP1390,1,25.0,450,0.04,0.04,8.88889e-05
MP1391,1,250.0,1000,0.004,0.004,4e-06
MP1393,1,25.0,450,0.04,0.04,8.88889e-05
MP1454,1,220.0,880,0.004545455,0.004545455,5.16529e-06
MP1455,1,25.0,450,0.04,0.04,8.88889e-05
MP1457,1,250.0,1000,0.004,0.004,4e-06
MP1468,1,25.0,225,0.04,0.04,0.000177778
MP1479,1,1.0,1,1.0,1.0,1.0
MP1480,1,1.0,1,1.0,1.0,1.0
MP1492,1,25.0,450,0.04,0.04,8.88889e-05
MP1522,1,1000.0,1000,0.001,0.001,1e-06
MP1538,1,25.0,1000,0.04,0.04,4e-05
MP1564,1,25.0,450,0.04,0.04,8.88889e-05
MP1567,1,25.0,450,0.04,0.04,8.88889e-05
MP1576,1,25.0,450,0.04,0.04,8.88889e-05
MP1580,1,25.0,450,0.04,0.04,8.88889e-05
MP1586,1,25.0,450,0.04,0.04,8.88889e-05
MP1592,1,25.0,1000,0.04,0.04,4e-05
MP1607,1,25.0,450,0.04,0.04,8.88889e-05
MP1615,1,200.0,800,0.005,0.005,6.25e-06
RES070,1,1000.0,1000,0.001,0.001,1e-06
TEC001,1,200.0,800,0.005,0.005,6.25e-06
TEC002,1,200.0,800,0.005,0.005,6.25e-06
TEC004,1,1000.0,1000,0.001,0.001,1e-06
TEC006,1,200.0,800,0.005,0.005,6.25e-06
TEC007,1,200.0,800,0.005,0.005,6.25e-06
TEC009,1,200.0,800,0.005,0.005,6.25e-06
TEC010,1,200.0,800,0.005,0.005,6.25e-06
TEC012,1,200.0,800,0.005,0.005,6.25e-06
TEC014,1,1000.0,1000,0.001,0.001,1e-06
TEC015,1,1000.0,1000,0.001,0.001,1e-06
TEC016,1,200.0,800,0.005,0.005,6.25e-06
TEC017,1,200.0,800,0.005,0.005,6.25e-06
TEC019,1,200.0,800,0.005,0.005,6.25e-06
TEC022,1,200.0,800,0.005,0.005,6.25e-06
TEC024,1,200.0,800,0.005,0.005,6.25e-06
TEC025,1,200.0,800,0.005,0.005,6.25e-06
TEC026,1,200.0,800,0.005,0.005,6.25e-06
TEC030,1,200.0,800,0.005,0.005,6.25e-06
TEC032,1,1000.0,1000,0.001,0.001,1e-06
TEC033,1,500.0,500,0.002,0.002,4e-06
TEC035,1,500.0,500,0.002,0.002,4e-06
TEC037,1,1000.0,1000,0.001,0.001,1e-06
TEC039,1,1000.0,1000,0.001,0.001,1e-06
TEC040,1,500.0,500,0.002,0.002,4e-06
TEC041,1,1000.0,1000,0.001,0.001,1e-06
TEC042,1,1000.0,1000,0.001,0.001,1e-06
TEC043,1,1000.0,1000,0.001,0.001,1e-06
TEC044,1,1000.0,1000,0.001,0.001,1e-06
TEC046,1,1000.0,1000,0.001,0.001,1e-06
TEC047,1,1000.0,1000,0.001,0.001,1e-06
TEC048,1,1000.0,1000,0.001,0.001,1e-06
TEC049,1,1000.0,1000,0.001,0.001,1e-06
TEC050,1,1000.0,1000,0.001,0.001,1e-06
TEC051,1,1000.0,1000,0.001,0.001,1e-06
TEC052,1,1000.0,1000,0.001,0.001,1e-06
TEC053,1,1000.0,1000,0.001,0.001,1e-06
TEC054,1,1000.0,1000,0.001,0.001,1e-06
TEC055,1,1000.0,1000,0.001,0.001,1e-06
TEC056,1,1000.0,1000,0.001,0.001,1e-06
TEC057,1,1000.0,1000,0.001,0.001,1e-06
TEC058,1,1000.0,1000,0.001,0.001,1e-06
TEC059,1,1000.0,1000,0.001,0.001,1e-06
TEC061,1,1000.0,1000,0.001,0.001,1e-06
TEC062,1,1000.0,1000,0.001,0.001,1e-06
TEC063,1,1000.0,1000,0.001,0.001,1e-06
TEC064,1,1000.0,1000,0.001,0.001,1e-06
TEC066,1,1000.0,1000,0.001,0.001,1e-06
TEC067,1,200.0,800,0.005,0.005,6.25e-06
TEC068,1,1000.0,1000,0.001,0.001,1e-06
TEC069,1,1000.0,1000,0.001,0.001,1e-06
TEC072,1,1000.0,1000,0.001,0.001,1e-06
TEC075,1,1000.0,1000,0.001,0.001,1e-06
TEC076,1,1000.0,1000,0.001,0.001,1e-06
TEC077,1,1000.0,1000,0.001,0.001,1e-06
TEC078,1,1000.0,1000,0.001,0.001,1e-06
TEC079,1,1000.0,1000,0.001,0.001,1e-06
TEC080,1,1000.0,1000,0.001,0.001,1e-06
TEC081,1,1000.0,1000,0.001,0.001,1e-06
TEC082,1,200.0,800,0.005,0.005,6.25e-06
TEC083,1,200.0,800,0.005,0.005,6.25e-06
TEC084,1,200.0,800,0.005,0.005,6.25e-06
TEC085,1,200.0,800,0.005,0.005,6.25e-06
TEC086,1,200.0,800,0.005,0.005,6.25e-06
TEC087,1,200.0,800,0.005,0.005,6.25e-06
TEC089,1,1000.0,1000,0.001,0.001,1e-06
TEC011,1,200.0,800,0.005,0.005,6.25e-06
GR4124,1,1000.0,1000,0.001,0.001,1e-06
MP1532,1,2000.0,800,0.0005,0.0005,6.25e-07
