sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
AMVAC005,12,1.0,77,1.0,0.083333333,0.001082251
AMVAC006,21,0.1,143,10.0,0.476190476,0.003330003
AMVAC007,12,1.0,77,1.0,0.083333333,0.001082251
ANAJALSA003,12,1.0,77,1.0,0.083333333,0.001082251
ASAMI001,4,5.0,44,0.2,0.05,0.001136364
ATBIOBAIT20LIMP,1,20.0,32,0.05,0.05,0.0015625
BBD60,1,20.0,32,0.05,0.05,0.0015625
BEEI001,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEI002,48,0.1,92,10.0,0.208333333,0.002264493
BEEI006,1,5.0,100,0.2,0.2,0.002
BEEI011,15,1.0,63,1.0,0.066666667,0.001058201
BEEI012,48,0.1,91,10.0,0.208333333,0.002289377
BEEI015,1,200.0,800,0.005,0.005,6.25e-06
BEEJ004,48,0.454,91,2.202643172,0.045888399,0.000504268
BEER003,6,1.0,72,1.0,0.166666667,0.002314815
BEEU001,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU002,21,0.24,143,4.166666667,0.198412698,0.001387501
BEEU004,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU005,21,0.24,143,4.166666667,0.198412698,0.001387501
BEEU006,48,0.1,91,10.0,0.208333333,0.002289377
BEEU007,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU008,21,0.24,143,4.166666667,0.198412698,0.001387501
BEEU009,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU011,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU031,21,0.24,143,4.166666667,0.198412698,0.001387501
BEEU032,4,5.0,44,0.2,0.05,0.001136364
BEEU033,6,1.0,72,1.0,0.166666667,0.002314815
BEEU034,15,0.95,63,1.052631579,0.070175439,0.001113896
BEEU037,20,1.0,40,1.0,0.05,0.00125
BEEU040,48,0.1,91,10.0,0.208333333,0.002289377
BEEU041,15,0.25,63,4.0,0.266666667,0.004232804
BEEU042,12,1.0,44,1.0,0.083333333,0.001893939
BEEU052,12,0.5,66,2.0,0.166666667,0.002525253
BEEU054,21,0.1,143,10.0,0.476190476,0.003330003
BLB5009,1,20.0,32,0.05,0.05,0.0015625
BUCK0100,1,20.0,32,0.05,0.05,0.0015625
BUCK0101,12,1.0,66,1.0,0.083333333,0.001262626
BUCK0102,12,1.0,66,1.0,0.083333333,0.001262626
BUCK0103,1,20.0,32,0.05,0.05,0.0015625
BUCK0104,12,1.0,66,1.0,0.083333333,0.001262626
BUCK0105,12,1.0,66,1.0,0.083333333,0.001262626
BUCK0106,1,20.0,32,0.05,0.05,0.0015625
BUCK0109,12,1.0,66,1.0,0.083333333,0.001262626
BUCK0145,12,1.0,66,1.0,0.083333333,0.001262626
CA530001LME,15,1.0,63,1.0,0.066666667,0.001058201
CA530082XME,48,0.1,91,10.0,0.208333333,0.002289377
CA530501BME,15,1.0,63,1.0,0.066666667,0.001058201
CA5305050ME,400,0.025,30,40.0,0.1,0.003333333
CIA002,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA003,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA005,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA007,2,10.0,52,0.1,0.05,0.000961538
CIA008,1,20.0,32,0.05,0.05,0.0015625
CIA010,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA011,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA013,21,0.25,143,4.0,0.19047619,0.001332001
CIA014,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA016,21,0.25,143,4.0,0.19047619,0.001332001
CIA017,12,1.0,77,1.0,0.083333333,0.001082251
CIA018,21,0.2,143,5.0,0.238095238,0.001665002
CIA020,4,5.0,44,0.2,0.05,0.001136364
CIA022,12,0.95,77,1.052631579,0.087719298,0.001139212
CIA023,21,0.25,143,4.0,0.19047619,0.001332001
